Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
Once Upon a Time in America,1984,R,01 Jun 1984,229 min,"Crime, Drama",Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi","Robert De Niro, James Woods, Elizabeth McGovern","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","English, Italian, French, Yiddish, Hebrew","Italy, United States",Won 2 BAFTA 11 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,8.3,"400,934",tt0087843,movie,,"$5,321,508",,,tt0087843,229.0,8.3,400934.0,75.0,1984
Waiting for the Hearse,1985,,06 May 1985,94 min,Comedy,Alejandro Doria,"Alejandro Doria, Jacobo Langsner","Luis Brandoni, China Zorrilla, Antonio Gasalla",Each member of this family tries to endorse someone else to care for the old Mother.,Spanish,Argentina,,https://m.media-amazon.com/images/M/MV5BMmY5ZmNkZTYtOGY4OC00ZGI5LWE0ZjctNzQ2ZGJjMDZmYzk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"7,548",tt0089108,movie,,,,,tt0089108,94.0,8.0,7548.0,,1985
Adam: His Song Continues,1986,Not Rated,29 Sep 1986,100 min,"Crime, Drama",Robert Markowitz,Oliver Hailey,"Daniel J. Travanti, JoBeth Williams, Richard Masur","Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",English,United States,,https://m.media-amazon.com/images/M/MV5BMjIwMDc1NTM3OV5BMl5BanBnXkFtZTgwNzAwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,247,tt0090589,movie,,,CBS,,tt0090589,100.0,7.0,247.0,,1986
The George McKenna Story,1986,Not Rated,11 Nov 1986,100 min,"Biography, Drama",Eric Laneuville,Charles Eric Johnson,"Denzel Washington, Lynn Whitfield, Akosua Busia",He risked it all to make the grade.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTY3OTgyMDM0OV5BMl5BanBnXkFtZTcwNjc1MjkxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,6.0,"1,109",tt0091106,movie,,,,,tt0091106,100.0,6.0,1109.0,,1986
She's Gotta Have It,1986,R,08 Aug 1986,84 min,"Comedy, Romance",Spike Lee,"Spike Lee, Zora Neale Hurston","Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell",Story of a woman and her three lovers.,English,United States,4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMWVkYzgxNzgtNjY4NS00ZGFhLTlhMmYtNjM0Yzg5YmIyYmZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79.0,6.8,"17,110",tt0091939,movie,,"$7,137,502",,,tt0091939,84.0,6.8,17110.0,79.0,1986
Stand by Me,1986,R,22 Aug 1986,89 min,"Adventure, Comedy, Drama",Rob Reiner,"Stephen King, Raynold Gideon, Bruce A. Evans","Wil Wheaton, River Phoenix, Corey Feldman",A writer recounts a childhood journey with his friends to find the body of a missing boy.,English,United States,Nominated for 1 Oscar. 6 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNGJkNTUwM2MtZWE2MS00YjNkLWE3MjktNWQwZDQxMDIyZWVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,8.1,"473,631",tt0092005,movie,,"$52,287,414",,,tt0092005,89.0,8.1,473631.0,75.0,1986
Top Gun,1986,PG,16 May 1986,110 min,"Action, Drama",Tony Scott,"Jim Cash, Jack Epps Jr., Ehud Yonay","Tom Cruise, Tim Robbins, Kelly McGillis","The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds ...",English,United States,Won 1 Oscar. 11 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZmVjNzQ3MjYtYTZiNC00Y2YzLWExZTEtMTM2ZDllNDI0MzgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,7.0,"540,892",tt0092099,movie,,"$180,258,178",,,tt0092099,110.0,7.0,540892.0,50.0,1986
Eddie Murphy: Raw,1987,R,18 Dec 1987,93 min,"Documentary, Comedy",Robert Townsend,"Eddie Murphy, Keenen Ivory Wayans","Eddie Murphy, Tatyana Ali, Billie Allen",Eddie Murphy in a stand-up performance recorded live. For an hour and a half he talks about his favourite subjects: sex and women.,English,United States,,https://m.media-amazon.com/images/M/MV5BNTAxM2E4MGUtMGMyYS00ZGEyLThjMmQtNjQ1MmQ5ZTEyMzgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,7.6,"21,341",tt0092948,movie,,"$50,504,655",,,tt0092948,93.0,7.6,21341.0,54.0,1987
Full Metal Jacket,1987,R,10 Jul 1987,116 min,"Drama, War",Stanley Kubrick,"Stanley Kubrick, Michael Herr, Gustav Hasford","Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"English, Vietnamese","United Kingdom, United States",Nominated for 1 Oscar. 8 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.0,8.2,"834,651",tt0093058,movie,,"$46,357,676",,,tt0093058,116.0,8.2,834651.0,78.0,1987
Strange Voices,1987,Not Rated,19 Oct 1987,100 min,Drama,Arthur Allan Seidelman,"Donna Powers, Wayne Powers, Roberta Dacks","Nancy McKeon, Valerie Harper, Stephen Macht","A family begins to fall apart when they find out their eldest daughter, Nicole, is a victim of schizophrenia.",English,United States,,https://m.media-amazon.com/images/M/MV5BMTU5MTU4MzIxNV5BMl5BanBnXkFtZTgwODAwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,424,tt0094052,movie,,,,,tt0094052,100.0,6.2,424.0,,1987
Mobile Suit Gundam: Char's Counterattack,1988,Not Rated,12 Mar 1988,124 min,"Animation, Action, Drama",Yoshiyuki Tomino,Yoshiyuki Tomino,"Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki",Amuro Ray and Char Aznable settle their rivalry once and for all during the Second Neo Zeon War.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BYjkzMzQ1ODAtN2I5ZC00NGFkLWIzOWMtMjdkNjAwNTUyOTRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"2,448",tt0095262,movie,,,,,tt0095262,124.0,7.2,2448.0,,1988
Quiet Victory: The Charlie Wedemeyer Story,1988,Not Rated,26 Dec 1988,100 min,Drama,Roy Campanella II,Barry Morrow,"Pam Dawber, Michael Nouri, Bess Meyer",A real-life story about a high school teacher and football coach who is diagnosed with Lou Gehrig's disease but refuses to give in.,English,United States,,https://m.media-amazon.com/images/M/MV5BY2ExOGI3ZjAtM2FlNS00MWIxLTg4ZjYtYTg4NjVhNDU0ZjEyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,158,tt0095945,movie,,,,,tt0095945,100.0,7.0,158.0,,1988
A Stoning in Fulham County,1988,Not Rated,24 Oct 1988,94 min,"Crime, Drama, Thriller",Larry Elikann,"Jackson Gillis, Jud Kinberg","Ken Olin, Jill Eikenberry, Maureen Mueller",Religious beliefs clash with the law when an Amish infant is killed in a rural community.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTY3MDE0OTY5OV5BMl5BanBnXkFtZTgwMDEwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",,5.9,476,tt0096179,movie,,,,,tt0096179,94.0,5.9,476.0,,1988
Too Young the Hero,1988,Not Rated,27 Mar 1988,100 min,"Biography, Drama, War",Buzz Kulik,"Calvin Graham, Gary Thomas, David J. Kinghorn","Ricky Schroder, Jon DeVries, Debra Mooney","The true story of Calvin Graham who at the age of twelve, but looking quite a lot older, succeeded in joining the navy during World War II. In spite of his young age, he received a Purple Heart for his bravery in the Naval Battle ...",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BNDY4ZjEyOWItY2IzOC00NTI4LTk0MTEtNDNkYzYzMmYxMjRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,593,tt0096286,movie,,,,,tt0096286,100.0,6.7,593.0,,1988
Mujrim,1989,,28 Jun 1989,163 min,"Action, Crime",Umesh Mehra,"Mukul Dutt, P.D. Mehra, Vinay Shukla","Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi","Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BOWQwZWE5MjctMTlkYy00NWUwLTg0ZTktZmUxYzcxZGE4NWNkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,263,tt0097926,movie,,,,,tt0097926,163.0,5.4,263.0,,1989
Pet Sematary,1989,R,21 Apr 1989,103 min,"Fantasy, Horror, Thriller",Mary Lambert,Stephen King,"Dale Midkiff, Denise Crosby, Fred Gwynne","After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",English,United States,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZTEyYWIyZWYtMTM5OC00M2ZmLWI5NzMtZjA0ZTI4MTQ4ZDZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,6.5,"121,808",tt0098084,movie,,"$57,469,467",,,tt0098084,103.0,6.5,121808.0,38.0,1989
The Ryan White Story,1989,Not Rated,16 Jan 1989,105 min,"Biography, Drama",John Herzfeld,"Phil Penningroth, John Herzfeld","Judith Light, Lukas Haas, Michael Bowen","The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",English,United States,,https://m.media-amazon.com/images/M/MV5BMTQ0NjI2NTgtZWYxNy00M2JjLWEyODgtY2Q2NzJmMmUyOTE4XkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"1,000",tt0098237,movie,,,,,tt0098237,105.0,7.1,1000.0,,1989
When Harry Met Sally...,1989,R,21 Jul 1989,95 min,"Comedy, Drama, Romance",Rob Reiner,Nora Ephron,"Billy Crystal, Meg Ryan, Carrie Fisher","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",English,United States,Nominated for 1 Oscar. 6 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.7,"259,667",tt0098635,movie,,"$93,117,425",,,tt0098635,95.0,7.7,259667.0,76.0,1989
Agneepath,1990,Not Rated,16 Feb 1990,174 min,"Action, Crime, Drama",Mukul Anand,"H. Banerjee, Kader Khan, Santosh Saroj","Amitabh Bachchan, Mithun Chakraborty, Madhavi","A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?",Hindi,India,3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZGJmYWYyYTgtZGZhOC00N2UxLWI3OGEtOTUwZWRjYWE1MDk3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",,7.6,"9,656",tt0098999,movie,,,,,tt0098999,174.0,7.6,9656.0,,1990
Awakenings,1990,PG-13,11 Jan 1991,121 min,"Biography, Drama",Penny Marshall,"Oliver Sacks, Steven Zaillian","Robert De Niro, Robin Williams, Julie Kavner",Dr. Sayer is a pioneering neurologist who wants to take a risk and give his patients who suffer from encephalitis a drug used for Parkinson's Disease. He tries it out on one man who miraculously wakes from his perpetual catatonic ...,English,United States,Nominated for 3 Oscars. 6 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZDUzOGQ4YTctNTY1OS00M2UzLWFjNzYtMGNlN2E5NDA2MGVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,7.8,"171,002",tt0099077,movie,,"$52,096,475",,,tt0099077,121.0,7.8,171002.0,74.0,1990
Dil,1990,Not Rated,22 Jun 1990,172 min,"Comedy, Drama, Romance",Indra Kumar,"Rajeev Kaul, Naushir Khatau, Kamlesh Pandey","Aamir Khan, Madhuri Dixit, Saeed Jaffrey","A man pretends to be a rich industrialist to improve his son's chances of marrying in to wealth, but his plan backfires on him.",Hindi,India,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BNWM5YTM1MDItMmViYy00NDliLWEwYWQtYTVjOGY3ODllZjEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,"5,805",tt0099429,movie,,,,,tt0099429,172.0,6.6,5805.0,,1990
#DUPE#,1990,,,,,,,,,,,,,[],,,,tt0099396,movie,,,,,tt0099833,,,,,1990
Alexandria: Again and Forever,1989,Not Rated,20 Jun 1990,100 min,Drama,Youssef Chahine,"Youssef Chahine, Yousry Nasrallah","Youssra, Youssef Chahine, Hussein Fahmy","During a hunger strike by the Egyptian film industry, Yehia, a famous Egyptian director, finds himself obsessed with Amir, the leading man in one of his movies, and Nadia, a woman he desires to work with.",Arabic,"France, Egypt",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMWYxNzdlOGYtOTliMC00Mzc1LWE4MjMtYjkxZjlhOWY3ZWQ1XkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,6.5,811,tt0099858,movie,,,,,tt0099858,100.0,6.5,811.0,,1989
Teenage Mutant Ninja Turtles,1990,PG,30 Mar 1990,93 min,"Action, Adventure, Comedy",Steve Barron,"Kevin Eastman, Peter Laird, Bobby Herbeck","Judith Hoag, Elias Koteas, Josh Pais",Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,"English, French","Hong Kong, United States",3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNzg3NTQ4NDk5NV5BMl5BanBnXkFtZTgwNzMzNDg4NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.8,"110,825",tt0100758,movie,,"$135,384,756",,,tt0100758,93.0,6.8,110825.0,51.0,1990
Unspeakable Acts,1990,Not Rated,15 Jan 1990,100 min,"Biography, Drama",Linda Otto,"Jan Hollingsworth, Alan Landsburg, Hesper Anderson","Jill Clayburgh, Brad Davis, Sam Behrens",The story of child psychologists Dr. Laurie and Joseph Braga and their involvement in one of the worst child sex abuse scandals in the U.S.,English,United States,,https://m.media-amazon.com/images/M/MV5BMTQ3MzYzMDA4MF5BMl5BanBnXkFtZTgwMjIwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,571,tt0100848,movie,,,,,tt0100848,100.0,6.2,571.0,,1990
Out of Life,1991,,15 May 1991,97 min,"Crime, Drama, War",Maroun Bagdadi,"Roger Auque, Maroun Bagdadi, Didier Decoin","Hippolyte Girardot, Rafik Ali Ahmad, Hussein Sbeity",A French photograher is kidnapped and held hostage in a war-torn Beirut. Slowly but surely his integrity and self-respect is broken.,"French, Arabic, English","France, Belgium, Italy",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTg3NjcxNDA3Ml5BMl5BanBnXkFtZTcwNTgxNzYxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,515,tt0102058,movie,,,,,tt0102058,97.0,6.8,515.0,,1991
Knight Rider 2000,1991,TV-PG,19 May 1991,95 min,"Action, Sci-Fi",Alan J. Levi,"Glen A. Larson, Rob Hedden","David Hasselhoff, Edward Mulhare, Susan Norman","In the future, guns are banned and criminals are frozen for the duration of their sentences. A recent spate of killings brings Michael Knight back to fight for justice to team up once again with K.I.T.T. - but he was dismantled.",English,United States,,https://m.media-amazon.com/images/M/MV5BNWQ3OTQ0YjctN2YyMy00MTQ4LWJhZjctNWQ4MTViNDFiMjE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,"3,624",tt0102227,movie,,,,,tt0102227,95.0,4.6,3624.0,,1991
My Girl,1991,PG,27 Nov 1991,102 min,"Comedy, Drama, Family",Howard Zieff,Laurice Elehwany,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd","Vada is obsessed with death. Her mother is dead, and her father runs a funeral parlor. When Vada's father hires Shelly, a makeup expert, and begins to fall in love, Vada is outraged and does everything in her power to split them up.",English,United States,2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNmI5M2EzZDUtZTBkZS00YWFmLWFhZTMtNjc3YTllZDBhODQ4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,6.9,"94,285",tt0102492,movie,,"$59,489,799",,,tt0102492,102.0,6.9,94285.0,56.0,1991
Nightmare in Columbia County,1991,Not Rated,10 Dec 1991,100 min,"Crime, Drama, Thriller",Roger Young,John Bensink,"William Devane, Jeri Ryan, Michele Abrams",The recounting of a terrible crime that wracked a family and galvanized police in South Carolina in the 1980's.,English,United States,,https://m.media-amazon.com/images/M/MV5BYjdiYmZlN2ItZTZlNC00YmEwLWExYWYtNDE3YjJlNDA2MDE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",,5.7,411,tt0102537,movie,,,,,tt0102537,100.0,5.7,411.0,,1991
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,PG,22 Mar 1991,88 min,"Action, Adventure, Comedy",Michael Pressman,"Kevin Eastman, Peter Laird, Todd W. Langen","Paige Turco, David Warner, Michelan Sisti",The Turtles discover their origins while they endeavour to save New York City from the evil Shredder and his Foot Clan.,English,"Hong Kong, United States",2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYzQwYzlhMjctMTcxYS00N2NmLTg4YzYtNjJjZjNhZTA0MzFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45.0,6.0,"63,358",tt0103060,movie,,"$78,656,813",,,tt0103060,88.0,6.0,63358.0,45.0,1991
A Triumph of the Heart: The Ricky Bell Story,1991,Not Rated,02 Apr 1991,100 min,"Biography, Drama, Sport",Richard Michaels,Jeff Andrus,"Mario Van Peebles, Susan Ruttan, Lane R. Davis","In the early 1980s, football star Ricky Bell befriends Ryan Blankenship, a disabled boy.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTc2NTQ2MDk1Nl5BMl5BanBnXkFtZTcwNDI1NTkxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,267,tt0103123,movie,,,,,tt0103123,100.0,7.2,267.0,,1991
A River Runs Through It,1992,PG,30 Oct 1992,123 min,Drama,Robert Redford,"Norman Maclean, Richard Friedenberg","Craig Sheffer, Brad Pitt, Tom Skerritt","Two sons of a stern minister - one reserved, one rebellious - grow up in rural 1920s Montana while devoted to fly fishing.",English,United States,Won 1 Oscar. 4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNjRlYWIwNWEtZjMxYy00N2JjLWFiNzMtM2NlZDU2ZjhjMWY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,7.2,"68,633",tt0105265,movie,,"$43,440,294",,,tt0105265,123.0,7.2,68633.0,68.0,1992
Aashik Aawara,1993,,28 May 1993,,Drama,Umesh Mehra,"Umesh Mehra, Shaktimaan Talwar","Saif Ali Khan, Mamta Kulkarni, Mohnish Behl","Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",Hindi,India,2 wins,https://m.media-amazon.com/images/M/MV5BNzRiMWRkZjYtNmNkZi00M2I5LThhOGItODA3NDJjYjY2OWZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,384,tt0106206,movie,,,,,tt0106206,,4.8,384.0,,1993
