Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id
Osmosis Jones,2001,PG,10 Aug 2001,95 min,"Animation, Action, Adventure","Bobby Farrelly, Peter Farrelly",Marc Hyman,"Laurence Fishburne, Chris Rock, David Hyde Pierce","A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",English,"United States, Denmark",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYWRkZWE3M2YtMjI0MC00ODk2LThhYTktN2ZmM2RiMTJiZGYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.3,"40,562",tt0181739,movie,N/A,"$13,596,911",N/A,N/A,tt0181739
Terminator 3: Rise of the Machines,2003,R,02 Jul 2003,109 min,"Action, Sci-Fi",Jonathan Mostow,"John Brancato, Michael Ferris, Tedi Sarafian","Arnold Schwarzenegger, Nick Stahl, Kristanna Loken","John Connor must face a female Terminator with power over all the machines. But a new Terminator unit, a T-850, is sent back through time to help guide him through the coming battle.",English,"United Kingdom, Germany, United States",3 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.3,"431,759",tt0181852,movie,N/A,"$150,371,112",N/A,N/A,tt0181852
#DUPE#,1968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0063477,movie,N/A,N/A,N/A,N/A,tt0183686
The Patriot,2000,R,28 Jun 2000,165 min,"Action, Drama, War",Roland Emmerich,Robert Rodat,"Mel Gibson, Heath Ledger, Joely Richardson",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,"English, French","Germany, United States",Nominated for 3 Oscars. 9 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BYThjZWExNTItYmE5Yi00ZDE3LTk1ZDktMGJiMWUyYTc2YmFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.2,"305,970",tt0187393,movie,N/A,"$113,330,342",N/A,N/A,tt0187393
Blade II,2002,R,22 Mar 2002,117 min,"Action, Horror, Sci-Fi",Guillermo del Toro,"Marv Wolfman, Gene Colan, David S. Goyer","Wesley Snipes, Kris Kristofferson, Ron Perlman","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","English, Romanian, Czech","United States, Germany",6 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMGE5ZmY2NzEtZTEyMi00MWIyLThmOWYtYzJkOTQ0Y2U3ZWU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.7,"246,544",tt0187738,movie,N/A,"$82,348,319",N/A,N/A,tt0187738
Hitler: A Career,1977,Not Rated,08 Jul 1977,150 min,"Documentary, History","Joachim Fest, Christian Herrendoerfer",Joachim Fest,"Gert Westphal, Stephen Murray, Artur Axmann","This meticulously assembled film dissects the Third Reich with an analytical blade, charting Hitler's improbable rise, his mastery of crowd psychology and his consummate skill in exploiting others' weaknesses.",German,West Germany,N/A,https://m.media-amazon.com/images/M/MV5BNjIxMmZkOTQtMWEzNC00OGZmLWJiOTUtMGVkNjkzNzA3Mjg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"3,191",tt0191182,movie,N/A,N/A,N/A,N/A,tt0191182
The Replacements,2000,PG-13,11 Aug 2000,118 min,"Comedy, Sport",Howard Deutch,Vince McKewin,"Keanu Reeves, Gene Hackman, Brooke Langton","During a pro football strike, the owners hire substitute players.","English, American Sign ",United States,N/A,https://m.media-amazon.com/images/M/MV5BMmE2ZWY5ZTUtMDAzOC00OWE3LWFlYmQtYmY2OGNiMTQyNjY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,6.6,"72,776",tt0191397,movie,N/A,"$44,737,059",N/A,N/A,tt0191397
#DUPE#,1993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0187096,movie,N/A,N/A,N/A,N/A,tt0192087
#DUPE#,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0120890,movie,N/A,N/A,N/A,N/A,tt0194542
Zoolander,2001,R,28 Sep 2001,90 min,Comedy,Ben Stiller,"Drake Sather, Ben Stiller, John Hamburg","Ben Stiller, Owen Wilson, Christine Taylor","At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",English,"Germany, United States",1 win & 11 nominations total,https://m.media-amazon.com/images/M/MV5BODI4NDY2NDM5M15BMl5BanBnXkFtZTgwNzEwOTMxMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.5,"311,380",tt0196229,movie,N/A,"$45,172,250",N/A,N/A,tt0196229
The Other,1999,N/A,26 May 1999,105 min,"Drama, Romance",Youssef Chahine,"Youssef Chahine, Khaled Youssef","Hanan Turk, Hani Salama, Nabila Ebeid","Egyptian director Youssef Chahine exposes the links between power and fanaticism and denounces intolerance in this bitter portrait of the Egyptian business world, where unconditional drive for money rules. Adam (Hani Salama), the ...","Arabic, French","France, Egypt",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYWE4MzJhMzUtNTcyMC00ZTdlLWJiMTktN2MxYzc5ODJkODMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"1,103",tt0196355,movie,N/A,N/A,N/A,N/A,tt0196355
Mann - Soul's Heart,1999,Not Rated,22 Jun 1999,160 min,"Drama, Romance",Indra Kumar,"Mildred Cram, Aatish Kapadia, Naushir Khatau","Aamir Khan, Manisha Koirala, Sharmila Tagore","A young woman falls in love with a handsome playboy, while aboard a Singapore to India cruise. They make plans to meet again, but fate may have other plans...",Hindi,India,2 nominations,https://m.media-amazon.com/images/M/MV5BZmM3YzU3NmEtMmM4ZS00YWQwLWJjYTktZDAyMTI4MTY2MmVlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"5,829",tt0206921,movie,N/A,N/A,N/A,N/A,tt0206921
Disco Dancer,1982,PG-13,10 Dec 1982,135 min,"Action, Drama, Musical",Babbar Subhash,"Rahi Masoom Reza, Deepak Balraj Vij","Mithun Chakraborty, Kim, Kalpana Iyer","After years of honest work a talented amateur singer becomes a famous professional, but an old enemy of his family is envious of his success.","Hindi, English",India,N/A,https://m.media-amazon.com/images/M/MV5BOTgxYWFhZjgtZGYwOS00MDMxLTg2YzItMTA0Mjc1MTZlZmRhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,734",tt0208903,movie,N/A,N/A,N/A,N/A,tt0208903
Soldier,1998,Not Rated,12 Oct 1998,156 min,"Action, Drama, Musical","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Aadesh K. Arjun, Sachin Bhowmick, Shyam Goel","Bobby Deol, Preity G Zinta, Rakhee Gulzar",The story follows a young man (Bobby Deol) who flees India and arrives in Australia seeking vengence for something that started in India. In Australia he meets and falls in love with the daughter of a rich and powerful man(Suresh ...,"English, Hindi",India,6 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTcyMTc1OTczMV5BMl5BanBnXkFtZTcwNzE2ODgzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,6.3,"3,465",tt0211634,movie,N/A,N/A,N/A,N/A,tt0211634
Parrot Sketch Not Included: Twenty Years of Monty Python,1989,Not Rated,18 Nov 1989,72 min,Comedy,Ian MacNaughton,"Graham Chapman, John Cleese, Terry Gilliam","Steve Martin, Graham Chapman, John Cleese",Sketches from Monty Python's Flying Circus (1969).,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTkzNDA5MTA5MV5BMl5BanBnXkFtZTgwMzMzOTk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"1,605",tt0213984,movie,N/A,N/A,N/A,N/A,tt0213984
Road Trip,2000,R,19 May 2000,93 min,Comedy,Todd Phillips,"Todd Phillips, Scot Armstrong","Breckin Meyer, Seann William Scott, Amy Smart",Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,English,United States,4 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZmZhM2U0YTItYTdjOS00OTY5LTg5OTMtMjU2ZTcwMTU0MDdhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.5,"185,957",tt0215129,movie,N/A,"$68,540,777",N/A,N/A,tt0215129
Hum Saath-Saath Hain,1999,Not Rated,05 Nov 1999,177 min,"Drama, Musical",Sooraj R. Barjatya,Sooraj R. Barjatya,"Mohnish Behl, Salman Khan, Saif Ali Khan","Ramkishen and Mamta have three sons Vivek , Prem and Vinod and a daughter Sangeeta. This family is part of a joint family whose close knit bond is challenged by a misunderstanding.",Hindi,India,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTc2NDQ5OTIzNl5BMl5BanBnXkFtZTgwMTI5ODUzNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"10,224",tt0216817,movie,N/A,"$2,005,094",N/A,N/A,tt0216817
Te quiero,2001,N/A,14 Feb 2001,85 min,Drama,Manuel Poirier,"Patrick Modiano, Manuel Poirier","Philippe Bas, Marine Delterme, Patricia Farfan Villena",Jean and Sylvia left France with a stolen diamond to start a new life in South America. They land in Lima to live their passion. But the diamond is not easy to sell. They meet a French couple and hope to sell them the stolen diamond.,"French, Spanish",France,N/A,https://m.media-amazon.com/images/M/MV5BMTc3NTY1MjkyNF5BMl5BanBnXkFtZTcwMDg5MjEyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,80,tt0217085,movie,N/A,N/A,N/A,N/A,tt0217085
Blow,2001,R,06 Apr 2001,124 min,"Biography, Crime, Drama",Ted Demme,"Bruce Porter, David McKenna, Nick Cassavetes","Johnny Depp, Penélope Cruz, Franka Potente","The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",English,United States,3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNTNkMzMwOWItM2FmYS00YmI2LWE4NjUtMmI5MDk0YTkwZjM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.5,"283,921",tt0221027,movie,N/A,"$52,990,775",N/A,N/A,tt0221027
Herod's Law,1999,R,18 Feb 2000,123 min,"Comedy, Crime, Drama",Luis Estrada,"Luis Estrada, Vicente Leñero, Fernando Javier León Rodríguez","Damián Alcázar, Pedro Armendáriz Jr., Delia Casanova",A naive man appointed as an acting mayor of a small town turns into a corrupt politician capable of anything to stay in power.,"Spanish, English, Nahuatl",Mexico,21 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMWM0NmM0MGQtZTk4NC00N2VmLWJiNmUtMDJjYzMwZmMzMDQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.8,"7,295",tt0221344,movie,N/A,"$52,000",N/A,N/A,tt0221344
Phir Bhi Dil Hai Hindustani,2000,Not Rated,21 Jan 2000,160 min,"Comedy, Drama, Musical",Aziz Mirza,"Sanjay Chhel, Raaj Kumar Dahima, Manoj Lalwani","Shah Rukh Khan, Juhi Chawla, Johny Lever","In order to seek justice for a man who exacts vengeance on a politician, who was responsible for his daughter's death, two rival reporters teams up to help him to prove his innocence.",Hindi,India,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BNTQ1YzAxZjgtNjAyNy00MmZhLThjMjItNTFkNzhlNjBiMDFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"8,841",tt0222270,movie,N/A,"$588,606",N/A,N/A,tt0222270
Khoon Khoon,1973,N/A,N/A,127 min,"Crime, Mystery, Thriller",Mohammed Hussain,"Umesh, Vrajendra Gaur","Mahendra Sandhu, Danny Denzongpa, Jagdeep",A Bombay cop tries to track down a serial killer who snipes at random victims.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BZjI0MjRkMTMtZWRlMi00ZGZmLTg2MDYtMWZhZjRiMjdjZjFjXkEyXkFqcGdeQXVyMjU3MzYxODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,56,tt0230412,movie,N/A,N/A,N/A,N/A,tt0230412
Hello Brother,1999,N/A,10 Sep 1999,139 min,"Action, Comedy, Fantasy",Sohail Khan,Sohail Khan,"Salman Khan, Rani Mukerji, Arbaaz Khan",A police officer receives a heart transplant from a murdered man whose ghost then follows him around insisting that he solve and avenge his murder.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNzZiZjZhY2QtMzFjMi00YjI2LTg2MDgtYmE2Mzk4Y2U5NDY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"4,803",tt0233856,movie,N/A,"$245,034",N/A,N/A,tt0233856
Lal Patthar,1971,N/A,31 Dec 1971,148 min,Drama,Sushil Majumdar,"Prasanta Chowdhary, Vrajendra Gaur, Nabendu Ghosh","Raaj Kumar, Hema Malini, Rakhee Gulzar","A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMTkyNWI5ZmQtNzVlOS00MzkxLWI0ZTktZTEzMjAyZmY2Yzg4XkEyXkFqcGdeQXVyNDQwOTAzNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,159,tt0237395,movie,N/A,N/A,N/A,N/A,tt0237395
Jaal,1986,N/A,14 Feb 1986,N/A,"Action, Drama, Thriller",Umesh Mehra,"Anand Kaushal, Javed Siddiqui","Rekha, Mithun Chakraborty, Mandakini","Shankar Verma lives a poor lifestyle with his mom, Shanti, in India after His father, Sathpal, leaves the family for a courtesan by the name of Meenabai. Years later, Shankar has now grown up and finds himself the object of affect...",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMzhkYjhjZjYtZDU5YS00ZGM2LWI2ZDgtNzM1NGZhNjExZGE2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,183,tt0239495,movie,N/A,N/A,N/A,N/A,tt0239495
Muqaddar Ka Faisla,1987,Not Rated,26 Jun 1987,171 min,"Action, Comedy, Drama",Prakash Mehra,"Laxmikant Sharma, Prakash Mehra, Kader Khan","Raaj Kumar, Rakhee Gulzar, Raj Babbar","An honest Hindu pandit (priest) is framed for embezzlement and rape, and not only dismissed from employment, but also arrested and imprisoned, leaving behind his family in destitution. On his return from prison, he is unable to lo...",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BYzQ3ZmM5YTEtYzI5NC00ZTZhLWE3ZTEtOThjMDc4MWZjZjY0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,83,tt0239682,movie,N/A,N/A,N/A,N/A,tt0239682
Children of Shatila,1998,N/A,01 Sep 1998,50 min,"Documentary, History",Mai Masri,N/A,N/A,"Farah and Issa, two streetwise children living in Beirut's Palestinian Shatila refugee camp, use their imaginations and creativity to come to terms with the realities of growing up in a refugee camp that has survived massacre, sie...",English,Lebanon,N/A,https://m.media-amazon.com/images/M/MV5BM2I4OWY0MzItMGQzZi00ZTA5LWI4ZmItNTFlZjRkM2E3MmJmXkEyXkFqcGdeQXVyMTY4MjUxMzgz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,169,tt0243174,movie,N/A,N/A,N/A,N/A,tt0243174
Stuart Little 2,2002,PG,19 Jul 2002,77 min,"Adventure, Comedy, Family",Rob Minkoff,"E.B. White, Douglas Wick, Bruce Joel Rubin","Michael J. Fox, Geena Davis, Hugh Laurie",Stuart and Snowbell set out across town to rescue a friend.,English,United States,Nominated for 1 BAFTA Award1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTYyNDg0Njc2Nl5BMl5BanBnXkFtZTYwMDc3NzQ3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,5.5,"60,920",tt0243585,movie,N/A,"$64,956,806",N/A,N/A,tt0243585
Thir13en Ghosts,2001,R,26 Oct 2001,91 min,"Fantasy, Horror",Steve Beck,"Robb White, Neal Marshall Stevens, Richard D'Ovidio","Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz","When Cyrus Kriticos, a very rich collector of unique things, dies, he leaves his house, fortune, and his prized collection of ghosts.",English,"Canada, United States",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNmFjMzZkODQtYmEwNS00MzIwLThhNmMtNjRiMmRjNjQ3MzQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,5.6,"97,477",tt0245674,movie,N/A,"$41,867,960",N/A,N/A,tt0245674
Fiza,2000,Not Rated,08 Sep 2000,170 min,"Crime, Drama, Romance",Khalid Mohamed,"Khalid Mohamed, Javed Siddiqui","Karisma Kapoor, Hrithik Roshan, Jaya Bachchan",In 1993 Fiza's brother Aman disappears during the riots in Mumbai. In 1999 Fiza is tired of waiting and goes looking for him.,"Hindi, Urdu",India,12 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BNDAyMWJkYWMtYjM0MS00YTM2LWFjNDMtODk1Yzg1MDk4MjYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"4,541",tt0248012,movie,N/A,"$596,591",N/A,N/A,tt0248012
Kabhi Khushi Kabhie Gham...,2001,Not Rated,14 Dec 2001,210 min,"Drama, Musical, Romance",Karan Johar,"Karan Johar, Sheena Parikh","Shah Rukh Khan, Kajol, Amitabh Bachchan","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family.","Hindi, English, Punjabi, Urdu","India, United Kingdom",27 wins & 47 nominations,https://m.media-amazon.com/images/M/MV5BN2MyZGVhNmMtY2JkNy00ZmIzLTkwOGItY2NiM2MyOGMxODkzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"58,366",tt0248126,movie,N/A,"$2,902,000",N/A,N/A,tt0248126
The Sam Kinison Family Entertainment Hour,1991,Not Rated,13 Jul 1991,50 min,"Documentary, Comedy, Music",Walter C. Miller,Sam Kinison,"Sam Kinison, Arthur Eckdahl, Randy Hansen","Catch Sam Kinison in his last recorded special. Filmed live at the Wiltern Theatre, Sam's not only provides the screaming comedy you've come to love him for, but he bookends this special with rock performances!",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg5ODE3NDA2NV5BMl5BanBnXkFtZTcwMjUxNTEyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,318,tt0249934,movie,N/A,N/A,N/A,N/A,tt0249934
John Q,2002,PG-13,15 Feb 2002,116 min,"Crime, Drama, Thriller",Nick Cassavetes,James Kearns,"Denzel Washington, Robert Duvall, Gabriela Oltean",John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.,"English, Spanish",United States,2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTcxNTQ1MzAyOF5BMl5BanBnXkFtZTYwNDg0ODk4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,7.1,"151,094",tt0251160,movie,N/A,"$71,756,802",N/A,N/A,tt0251160
Heist,2001,R,09 Nov 2001,109 min,"Action, Crime, Drama",David Mamet,David Mamet,"Gene Hackman, Rebecca Pidgeon, Danny DeVito","A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.",English,"Canada, United States",N/A,https://m.media-amazon.com/images/M/MV5BY2M4YWQ5NDAtNjAwZC00NmM2LWJiNWUtOWEwNmE1Mjc5OGMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.5,"40,828",tt0252503,movie,N/A,"$23,510,841",N/A,N/A,tt0252503
The Sweetest Thing,2002,R,12 Apr 2002,84 min,"Comedy, Romance",Roger Kumble,Nancy M. Pimental,"Cameron Diaz, Thomas Jane, Christina Applegate","Christina Walters spent years avoiding men, then suddenly met her perfect match while hanging with her best friends, Courtney and Jane. When she finds out that he has left town, she and Courtney set out on a trip.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNjEzNmRjZTgtYzNjYi00ZTI3LWE0MDQtMWIwMzRiYTBmNTVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.2,"64,477",tt0253867,movie,N/A,"$24,718,164",N/A,N/A,tt0253867
Road to Perdition,2002,R,12 Jul 2002,117 min,"Crime, Drama, Thriller",Sam Mendes,"Max Allan Collins, Richard Piers Rayner, David Self","Tom Hanks, Tyler Hoechlin, Paul Newman","A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",English,United States,Won 1 Oscar. 23 wins & 82 nominations total,https://m.media-amazon.com/images/M/MV5BMjMyYjMyMzktMjlhZC00ZTZkLTkzMWQtZmEwMjdjNzJkM2RlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"296,515",tt0257044,movie,N/A,"$104,454,762",N/A,N/A,tt0257044
Tim Allen: Men Are Pigs,1990,Not Rated,07 Sep 1990,30 min,"Documentary, Comedy",Ellen Brown,Tim Allen,"Tim Allen, Ken Calvert, John Schmidt","Tim Allen's first Showtime stand-up comedy special filmed in Kalamazoo, Michigan.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmU0ZDZjZjUtMTAxYS00ZTE5LTgwZTctNmQzOGIzMzBhNGE3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,397,tt0259057,movie,N/A,N/A,N/A,N/A,tt0259057
Yodha,1991,Not Rated,22 Feb 1991,142 min,"Action, Drama",Rahul Rawail,K.K. Singh,"Sunny Deol, Sanjay Dutt, Sangeeta Bijlani",Karan a respected lawyer has many enemies including Suraj due to his honesty.Justice Agnihotri is Karan's idol but conducts his illegal activities by name of Daga.Daga takes advantage of Karan and Suraj's rivalry making them sore ...,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNzlkZTJmYWMtODJiYi00NzNkLTkyYTctNTczMzZhZWU4Njc1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,290,tt0267130,movie,N/A,N/A,N/A,N/A,tt0267130
The One,2001,PG-13,02 Nov 2001,87 min,"Action, Sci-Fi, Thriller",James Wong,"Glen Morgan, James Wong","Jet Li, Carla Gugino, Delroy Lindo","A rogue Multiverse agent goes on a manhunt for alternate versions of himself, getting stronger with each kill. Only the last version of himself, an LASD cop, can stop his crusade before he becomes ""The One"".",English,United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BMzE3Y2VjNzMtZGMyOS00ZjA5LWExZjYtYzNkMTQ3Mzk5YmY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.9,"98,980",tt0267804,movie,N/A,"$43,905,746",N/A,N/A,tt0267804
Singapore,1960,N/A,N/A,135 min,"Crime, Thriller",Shakti Samanta,"Vrajendra Gaur, Qamar Jalalabadi, Surinder","Shammi Kapoor, Padmini, Maria Menado","When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Hindi,"India, Malaysia",N/A,https://m.media-amazon.com/images/M/MV5BZDU5YTE4MWEtZDcwYy00YjViLWFkODktMWQzOTEzN2FjOWRmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,93,tt0268639,movie,N/A,N/A,N/A,N/A,tt0268639
